Film,Release Year,1998 rank,2007 rank
The Birth of a Nation,1915,44,Ñ
Intolerance,1916,Ñ,49
The Gold Rush,1925,74,58
Sunrise: A Song of Two Humans,1927,Ñ,82
The General,1927,Ñ,18
The Jazz Singer,1927,90,Ñ
All Quiet on the Western Front,1930,54,Ñ
Frankenstein,1931,87,Ñ
City Lights,1931,76,11
King Kong,1933,43,41
Duck Soup,1933,85,60
It Happened One Night,1934,35,46
Mutiny on the Bounty,1935,86,Ñ
A Night at the Opera,1935,Ñ,85
Modern Times,1936,81,78
Swing Time,1936,Ñ,90
Snow White and the Seven Dwarfs,1937,49,34
Bringing Up Baby,1938,97,88
Mr. Smith Goes to Washington,1939,29,26
Gone with the Wind,1939,4,6
Stagecoach,1939,63,Ñ
The Wizard of Oz,1939,6,10
Wuthering Heights,1939,73,Ñ
Fantasia,1940,58,Ñ
The Philadelphia Story,1940,51,44
The Grapes of Wrath,1940,21,23
Citizen Kane,1941,1,1
Sullivan's Travels,1941,Ñ,61
The Maltese Falcon,1941,23,31
Casablanca,1942,2,3
Yankee Doodle Dandy,1942,100,98
Double Indemnity,1944,38,29
It's a Wonderful Life,1946,11,20
The Best Years of Our Lives,1946,37,37
The Treasure of the Sierra Madre,1948,30,38
The Third Man,1949,57,Ñ
All About Eve,1950,16,28
Sunset Boulevard,1950,12,16
An American in Paris,1951,68,Ñ
A Place in the Sun,1951,92,Ñ
A Streetcar Named Desire,1951,45,47
The African Queen,1951,17,65
High Noon,1952,33,27
Singin' in the Rain,1952,10,5
From Here to Eternity,1953,52,Ñ
Shane,1953,69,45
On the Waterfront,1954,8,19
Rear Window,1954,42,48
Rebel Without a Cause,1955,59,Ñ
Giant,1956,82,Ñ
The Searchers,1956,96,12
12 Angry Men,1957,Ñ,87
The Bridge on the River Kwai,1957,13,36
Vertigo,1958,61,9
North by Northwest,1959,40,55
Ben-Hur,1959,72,100
Some Like It Hot,1959,14,22
The Apartment,1960,93,80
Spartacus,1960,Ñ,81
Psycho,1960,18,14
West Side Story,1961,41,51
Lawrence of Arabia,1962,5,7
The Manchurian Candidate,1962,67,Ñ
To Kill a Mockingbird,1962,34,25
My Fair Lady,1964,91,Ñ
Dr. Strangelove,1964,26,39
Doctor Zhivago,1965,39,Ñ
The Sound of Music,1965,55,40
Who's Afraid of Virginia Woolf?,1966,Ñ,67
Guess Who's Coming to Dinner,1967,99,Ñ
In the Heat of the Night,1967,Ñ,75
Bonnie and Clyde,1967,27,42
The Graduate,1967,7,17
2001: A Space Odyssey,1968,22,15
Midnight Cowboy,1969,36,43
Easy Rider,1969,88,84
Butch Cassidy and the Sundance Kid,1969,50,73
The Wild Bunch,1969,80,79
MASH,1970,56,54
Patton,1970,89,Ñ
A Clockwork Orange,1971,46,70
The French Connection,1971,70,93
The Last Picture Show,1971,Ñ,95
Cabaret,1972,Ñ,63
The Godfather,1972,3,2
American Graffiti,1973,77,62
Chinatown,1974,19,21
The Godfather Part II,1974,32,32
One Flew Over the Cuckoo's Nest,1975,20,33
Nashville,1975,Ñ,59
Jaws,1975,48,56
Network,1976,66,64
All the President's Men,1976,Ñ,77
Taxi Driver,1976,47,52
Rocky,1976,78,57
Annie Hall,1977,31,35
Close Encounters of the Third Kind,1977,64,Ñ
Star Wars,1977,15,13
The Deer Hunter,1978,79,53
Apocalypse Now,1979,28,30
Raging Bull,1980,24,4
Raiders of the Lost Ark,1981,60,66
E.T. the Extra-Terrestrial,1982,25,24
Blade Runner,1982,Ñ,97
Sophie's Choice,1982,Ñ,91
Tootsie,1982,62,69
Amadeus,1984,53,Ñ
Platoon,1986,83,86
Do the Right Thing,1989,Ñ,96
Goodfellas,1990,94,92
Dances with Wolves,1990,75,Ñ
The Silence of the Lambs,1991,65,74
Unforgiven,1992,98,68
Schindler's List,1993,9,8
Forrest Gump,1994,71,76
Pulp Fiction,1994,95,94
The Shawshank Redemption,1994,Ñ,72
Toy Story,1995,Ñ,99
Fargo,1996,84,Ñ
Titanic,1997,Ñ,83
Saving Private Ryan,1998,Ñ,71
The Sixth Sense,1999,Ñ,89
The Lord of the Rings: The Fellowship of the Ring,2001,Ñ,50
